Player,Player-additional,Ht.,Wt.
Bill Cristall,cristbi01,5-7,145.0
Ned Crompton,crompne01,5-10,175.0
Narciso Crook,crookna01,6-2,229.0
Ken Crosby,crosbke01,6-2,179.0
Francisco Cruceta,crucefr01,6-2,215.0
Deivi Cruz,cruzde01,5-11,160.0
Enrique Cruz,cruzen01,6-1,205.0
Fausto Cruz,cruzfa01,5-10,165.0
Fernando Cruz,cruzfe01,6-2,237.0
Héctor Cruz,cruzhe01,5-11,170.0
Henry Cruz,cruzhe02,6-0,175.0
Iván Cruz,cruziv01,6-3,210.0
Jesús Cruz,cruzje01,6-1,230.0
José Cruz,cruzjo01,6-0,170.0
José Cruz,cruzjo02,6-0,190.0
Juan Cruz,cruzju02,6-2,170.0
Luis Cruz,cruzlu01,6-1,210.0
Nelson Cruz,cruzne01,6-1,175.0
Nelson Cruz,cruzne02,6-2,230.0
Oneil Cruz,cruzon01,6-7,215.0
Rhiner Cruz,cruzrh01,6-2,210.0
Steven Cruz,cruzst01,6-7,225.0
Tommy Cruz,cruzto01,5-9,165.0
Víctor Cruz,cruzvi01,5-9,174.0
José Cuas,cuasjo01,6-3,195.0
Darwin Cubillán,cubilda01,6-2,165.0
Mike Cuellar,cuellmi01,6-0,165.0
Basilio Cueria,cueriba01,5-11,197.0
Bert Cueto,cuetobe01,6-4,170.0
Johnny Cueto,cuetojo01,5-11,229.0
Manuel Cueto,cuetoma01,5-5,157.0
Noel Cuevas,cuevano01,6-2,225.0
William Cuevas,cuevawi01,6-2,215.0
Wil Culmer,culmewi01,6-4,210.0
Midre Cummings,cummimi01,6-1,190.0
John Curran,currepe01,5-8,175.0
Clarence Currie,curricl01,5-10,170.0
Tony Curry,curryto01,5-11,185.0
Andy Cusick,cusicto01,5-9,190.0
Cheslor Cuthbert,cuthbch01,6-1,205.0
Éric Cyr,cyrer01,6-4,200.0
Omar Daal,daalom01,6-3,160.0
Hugh Daily,dailyhu01,6-2,180.0
Tom Daly,dalyto02,5-11,171.0
Pete Daniels,daniepe01,5-8,160.0
Yu Darvish,darviyu01,6-5,220.0
Vic Davalillo,davalvi01,5-7,150.0
Pompeyo Davalillo,davalyo01,5-3,140.0
Ray Daviault,daviara01,6-1,170.0
Bob Davidson,davidbo01,6-0,185.0
Dave Davidson,davidda01,6-1,200.0
Chili Davis,davisch01,6-3,195.0
Yonathan Daza,dazayo01,6-2,207.0
Roger Deago,deagoro01,5-10,180.0
Alejandro De Aza,deazaal01,6-0,195.0
Yurendell de Caster,decasyu01,6-0,215.0
Sam Deduno,dedunsa01,6-3,210.0
Shorty Dee,deesh01,5-6,155.0
Arturo DeFreites,defrear01,6-2,195.0
Otto Deininger,deinipe01,5-8,180.0
Ángel De Jesús,dejesan01,6-4,200.0
Enmanuel De Jesus,dejesen01,6-3,190.0
Iván de Jesús,dejesiv01,5-11,175.0
Iván De Jesús,dejesiv02,5-11,200.0
Francisco de la Rosa,dela_fr01,5-11,185.0
Jesús de la Rosa,dela_je01,6-1,153.0
Miguel de la Hoz,dela_mi01,5-11,175.0
Tommy de la Cruz,dela_to01,6-1,168.0
Bryan De La Cruz,delacbr01,6-2,175.0
Elly De La Cruz,delacel01,6-5,200.0
Frankie De La Cruz,delaceu01,5-11,214.0
Joel De La Cruz,delacjo01,6-1,240.0
Eury De La Rosa,delareu01,5-9,165.0
Rubby De La Rosa,delarru01,6-0,210.0
Tomás de la Rosa,delarto01,5-10,165.0
José De La Torre,delatjo01,5-10,195.0
José DeLeón,deleojo01,6-3,210.0
Jorge De León,deleojo02,6-0,185.0
José De León,deleojo03,6-0,220.0
Luis DeLeón,deleolu01,6-1,153.0
Álex Delgado,delgaal01,6-0,195.0
Carlos Delgado,delgaca01,6-3,215.0
Felle Delgado,delgafe01,5-8,175.0
Jesús Delgado,delgaje01,6-0,225.0
Luis Delgado,delgapu01,5-11,170.0
Randall Delgado,delgara01,6-4,220.0
Wilson Delgado,delgawi01,5-11,145.0
Juan Delis,delisju01,5-11,170.0
Abel De Los Santos,delosab01,6-2,195.0
Enyel De Los Santos,delosen01,6-3,235.0
Fautino De Los Santos,delosfa01,6-2,225.0
Luis de los Santos,deloslu01,6-5,205.0
Luis de los Santos,deloslu02,6-2,216.0
Ramón de los Santos,delosra01,6-0,175.0
Valerio De Los Santos,delosva01,6-2,225.0
Yerry De Los Santos,delosye01,6-2,210.0
Miguel Del Pozo,delpomi01,6-1,205.0
Enerio Del Rosario,delroen01,6-2,190.0
Miguel Del Toro,deltomi01,6-1,160.0
Fred Demarais,demarfr01,5-9,168.0
Ryan Dempster,dempsry01,6-2,215.0
Jorge De Paula,depaujo01,6-1,160.0
José De Paula,depaujo02,6-1,170.0
Julio De Paula,depauju01,6-0,180.0
Odrisamer Despaigne,despaod01,6-0,200.0
Elmer Dessens,desseel01,5-11,200.0
Orestes Destrade,destror01,6-4,210.0
César Devarez,devarce01,5-10,175.0
José Devers,deverjo01,6-0,174.0
Rafael Devers,deverra01,6-0,235.0
Scott Diamond,diamosc01,6-3,205.0
Aledmys Díaz,diazal02,6-1,195.0
Alexis Díaz,diazal03,6-2,224.0
Argenis Díaz,diazar01,6-0,190.0
Bo Díaz,diazbo01,5-11,185.0
Dayán Díaz,diazda01,5-10,195.0
Edgar Díaz,diazed01,6-0,155.0
Eddy Díaz,diazed02,5-10,160.0
Edwin Díaz,diazed03,5-11,172.0
Edwin Díaz,diazed04,6-3,165.0
Einar Díaz,diazei01,5-10,165.0
Elias Díaz,diazel01,6-1,223.0
Félix Díaz,diazfe01,6-1,180.0
Fernando Díaz,diazfe02,5-11,180.0
Heliodoro Díaz,diazhe01,5-5,
Isan Díaz,diazis01,5-10,201.0
Jairo Díaz,diazja01,6-0,254.0
Jhonathan Díaz,diazjh01,6-0,170.0
José Díaz,diazjo01,6-0,230.0
Jordan Diaz,diazjo03,5-9,175.0
Juan Díaz,diazju01,6-2,269.0
Juan Díaz,diazju02,6-4,220.0
Jumbo Díaz,diazju03,6-4,315.0
Lewin Díaz,diazle01,6-2,232.0
Mario Díaz,diazma01,5-10,145.0
Miguel Díaz,diazmi02,6-0,224.0
Pedro Díaz,diazpe01,5-7,
Robinzon Díaz,diazro01,5-11,220.0
Víctor Díaz,diazvi01,6-0,210.0
Yandy Díaz,diazya01,6-2,215.0
Yainer Diaz,diazya02,6-0,195.0
Yennsy Díaz,diazye01,6-0,216.0
Yusniel Díaz,diazyu01,6-0,215.0
Pedro Dibut,dibutpe01,5-8,190.0
Jason Dickson,dicksja01,6-0,190.0
Wilmer Difo,difowi01,5-10,200.0
Martín Dihigo,dihigma99,6-2,195.0
Miguel Diloné,dilonmi01,6-0,160.0
Marcos Diplán,diplama01,6-0,200.0
Rafael Dolis,dolisra01,6-4,235.0
Freddy Dolsi,dolsifr01,6-0,160.0
Jasson Domínguez,dominja01,5-9,190.0
José Domínguez,dominjo01,6-0,200.0
Juan Domínguez,dominju01,6-2,180.0
Seranthony Domínguez,dominse01,6-1,225.0
Lino Donoso,donosli01,5-11,160.0
Brendan Donovan,donovbr01,6-1,210.0
Patsy Donovan,donovpa01,5-11,175.0
Melvin Dorta,dortame01,5-11,160.0
Octavio Dotel,doteloc01,6-0,230.0
Félix Doubront,doubrfe01,6-2,240.0
Camilo Doval,dovalca01,6-2,185.0
Jeter Downs,downsje01,5-10,197.0
Tom Dowse,dowseto01,5-11,175.0
Conny Doyle,doyleco01,5-10,185.0
Jack Doyle,doyleja01,5-9,155.0
John Doyle,doylejo02,5-10,160.0
Moe Drabowsky,drabomo01,6-3,190.0
Reinaldo Drake,drakere01,5-7,160.0
Valentín Dreke,drekeva01,5-8,160.0
Claro Duany,duanycl01,6-2,215.0
Daniel Duarte,duartda01,6-0,235.0
Mauricio Dubón,dubonma01,6-0,173.0
Rob Ducey,duceyro01,6-2,175.0
Ed Duffy,duffyed01,5-7,152.0
Gus Dugas,dugasgu01,5-9,165.0
Mariano Duncan,duncama01,6-0,160.0
Steve Dunn,dunnst01,5-9,173.0
Ezequiel Durán,duranez01,5-11,185.0
Germán Durán,durange01,5-10,185.0
Jhoan Durán,duranjh01,6-5,230.0
Luis Durango,duranlu01,5-9,155.0
Roberto Durán,duranro01,6-0,167.0
Erubiel Durazo,durazer01,6-3,240.0
Trent Durrington,durritr01,5-10,185.0
Jesen Therrien,dygesje01,6-3,221.0
Radhames Dykhoff,dykhora01,6-0,205.0
Juan Eckelson,eckelju01,5-10,
Mike Eden,edenmi01,5-10,170.0
Robert Eenhoorn,eenhoro01,6-3,170.0
Ed Eiteljorg,eiteled01,6-2,190.0
Roenis Elías,eliasro01,6-1,205.0
Narciso Elvira,elvirna01,5-10,160.0
Bob Emslie,emslibo01,5-11,180.0
Angelo Encarnación,encaran01,5-8,180.0
Edwin Encarnación,encared01,6-1,230.0
Jerar Encarnación,encarje01,6-4,250.0
Juan Encarnación,encarju01,6-2,160.0
Luis Encarnación,encarlu01,5-10,178.0
Mario Encarnación,encarma01,6-2,210.0
Luis Entenza,entenlu01,5-5,
Joe Erautt,erautjo01,5-9,175.0
Eric Erickson,ericker01,6-2,190.0
Edgmer Escalona,escaled01,6-4,235.0
Félix Escalona,escalfe01,6-0,185.0
Nino Escalera,escalni01,5-10,165.0
Sergio Escalona,escalse01,6-0,215.0
Chico Escárrega,escarch01,5-11,185.0
Álex Escobar,escobal01,6-1,185.0
Alcides Escobar,escobal02,6-1,205.0
Ángel Escobar,escoban01,6-0,160.0
Eduardo Escobar,escobed01,5-10,199.0
Edwin Escobar,escobed02,6-2,225.0
José Escobar,escobjo01,5-10,140.0
Kelvim Escobar,escobke01,6-1,205.0
Luis Escobar,escoblu01,6-1,205.0
Yunel Escobar,escobyu01,6-2,215.0
José Espada,espadjo01,6-0,170.0
Álvaro Espinoza,espinal01,6-0,170.0
Anderson Espinoza,espinan01,6-0,208.0
Juan Espino,espinju01,6-1,190.0
Nino Espinosa,espinni01,6-1,192.0
Paolo Espino,espinpa01,5-10,212.0
Raynel Espinal,espinra01,6-3,215.0
Santiago Espinal,espinsa01,5-10,185.0
Bobby Estalella,estalbo01,5-8,180.0
Carlos Estévez,estevca01,6-6,277.0
Frank Estrada,estrafr01,5-8,182.0
Horacio Estrada,estraho01,6-1,185.0
Marco Estrada,estrama01,6-0,180.0
Óscar Estrada,estraos01,5-8,160.0
Thairo Estrada,estrath01,5-10,185.0
Leo Estrella,estrele01,6-1,185.0
Carlos Etchegoyen,etcheca01,5-6,
Mark Ettles,ettlema01,6-0,178.0
Tony Eusebio,eusebto01,6-2,180.0
Reuben Ewing,ewingre01,5-4,150.0
Julián Fabelo,fabelju01,5-8,
Isidro Fabré,fabreis01,5-6,
Héctor Fajardo,fajarhe01,6-4,185.0
Irving Falu,faluir01,5-9,185.0
Jeurys Familia,familje01,6-3,240.0
Rikkert Faneyte,faneyri01,6-0,170.0
Johneshwy Fargas,fargajo01,6-1,180.0
Bill Farmer,farmebi01,5-11,187.0
Carlos Febles,febleca01,5-11,170.0
Jesús Feliciano,felicje01,5-10,190.0
Mario Feliciano,felicma01,5-10,200.0
Pedro Feliciano,felicpe01,5-10,195.0
Ángel Felipe,felipan01,6-5,190.0
Junior Félix,felixju01,6-0,170.0
Michael Feliz,felizmi01,6-4,250.0
Neftalí Feliz,felizne01,6-3,235.0
Pedro Feliz,felizpe01,6-1,210.0
Bobby Fenwick,fenwibo01,5-9,165.0
Félix Fermín,fermife01,5-11,160.0
Freddy Fermin,fermifr01,5-9,200.0
José Fermín,fermijo01,5-9,198.0
Ramón Fermín,fermira01,6-3,180.0
Chico Fernández,fernach01,6-0,165.0
Lorencito Fernández,fernach02,5-10,160.0
José Fernández,fernajo01,6-3,220.0
José Fernández,fernajo02,6-3,240.0
José Miguel Fernández,fernajo03,5-10,185.0
José Fernández,fernajo04,6-3,170.0
José María Fernández,fernajo05,5-8,170.0
Junior Fernández,fernaju01,6-3,215.0
Julian Fernández,fernaju02,6-6,230.0
Osvaldo Fernández,fernaos01,6-2,190.0
Pablo Fernández,fernapa01,5-8,
Rodolfo Fernández,fernaro01,6-1,190.0
Tony Fernández,fernato01,6-2,165.0
Coco Ferrer,ferreco01,5-7,145.0
Jose A. Ferrer,ferrejo01,6-1,233.0
Pedro Ferrer,ferrepe01,,
Sergio Ferrer,ferrese01,5-7,145.0
Hobe Ferris,ferriho01,5-8,162.0
Jocko Fields,fieldjo01,5-10,160.0
Alfredo Fígaro,figaral01,6-0,190.0
Bien Figueroa,figuebi01,5-10,170.0
Ed Figueroa,figueed01,6-1,190.0
Jesús Figueroa,figueje01,5-10,160.0
José Figueroa,figuejo01,5-11,189.0
Luis Figueroa,figuelu01,5-9,165.0
Pedro Figueroa,figuepe01,6-0,215.0
Enrique Figueroa,figueti01,5-11,180.0
Harry Fisher,fisheha01,6-0,180.0
Max Fiske,fiskema01,5-11,185.0
Dennis Fitzgerald,fitzgde01,5-10,160.0
Yohan Flande,flandyo01,6-2,180.0
Ángel Fleitas,fleitan01,5-9,160.0
Gil Flores,floregi01,6-0,185.0
Jesse Flores,floreje01,5-10,175.0
Jesús Flores,floreje02,6-1,210.0
Kendry Flores,floreke01,6-2,195.0
Ramón Flores,florera02,5-10,190.0
Wilmer Flores,florewi01,6-2,213.0
Estevan Florial,flories01,6-1,195.0
Pedro Florimón,floripe01,6-2,185.0
Mike Flynn,flynnmi01,,
Curry Foley,foleycu01,5-10,160.0
Wilmer Font,fontwi01,6-4,255.0
Gene Ford,fordge01,6-0,170.0
Russ Ford,fordru01,5-11,175.0
Wenty Ford,fordwe01,5-11,165.0
Pedro Formental,formepe01,5-11,200.0
Mike Fornieles,fornimi01,5-11,155.0
Bartolomé Fortunato,fortuba01,6-1,210.0
Tony Fossas,fossato01,6-0,195.0
Dick Fowler,fowledi01,6-4,215.0
Lucius Fox,foxlu01,6-0,182.0
Enderson Franco,francen01,6-1,241.0
Frank Francisco,francfr01,6-2,250.0
Jeff Francis,francje01,6-5,220.0
Julio Franco,francju01,6-0,160.0
Juan Francisco,francju02,6-2,245.0
Maikel Franco,francma02,6-1,225.0
Wander Franco,francwa01,5-10,189.0
Alejandro Freire,freiral01,6-2,225.0
Carlos Frías,friasca01,6-4,195.0
Hanley Frías,friasha01,6-0,160.0
Luis Frías,friaslu01,6-3,245.0
Pepe Frías,friaspe01,5-10,159.0
Ernesto Frieri,frierer01,6-0,205.0
Doug Frobel,frobedo01,6-4,196.0
Emiliano Fruto,frutoem01,6-3,230.0
Miguel Fuentes,fuentmi01,6-0,160.0
Tito Fuentes,fuentti01,5-11,175.0
Kyuji Fujikawa,fujikky01,6-0,190.0
Shintaro Fujinami,fujinsh01,6-6,180.0
Kosuke Fukudome,fukudko01,6-0,200.0
Kazuo Fukumori,fukumka01,6-0,175.0
Mauricio Funes,funesma01,5-5,
Rafael Furcal,furcara02,5-8,195.0
Armando Gabino,gabinar01,6-3,210.0
Eric Gagné,gagneer01,6-2,195.0
Fred Gaiser,gaisefr01,5-8,175.0
Andrés Galarraga,galaran01,6-3,235.0
Armando Galarraga,galarar01,6-3,230.0
Yovani Gallardo,gallayo01,6-2,205.0
Giovanny Gallegos,gallegi01,6-2,205.0
Balvino Gálvez,galveba01,6-0,170.0
Cándido Gálvez,galveca01,6-2,
Freddy Galvis,galvifr01,5-10,190.0
Domingo Gámiz,gamizdo01,5-6,
Márgaro Gámiz,gamizma01,5-6,
Eddy Garabito,garabed01,5-8,186.0
Gerson Garabito,garabge01,6-0,160.0
Víctor Gárate,garatvi01,6-1,210.0
Bárbaro Garbey,garbeba01,5-10,170.0
Frank Garcés,garcefr01,5-11,175.0
Rich Garcés,garceri01,6-0,250.0
Adonis García,garciad01,5-9,205.0
Adolis García,garciad02,6-1,205.0
Amaury García,garciam01,5-10,160.0
Anderson García,garcian01,6-2,180.0
Ángel García,garcian02,,
Avisaíl García,garciav01,6-4,250.0
Carlos García,garcica01,6-1,185.0
Chico García,garcich01,5-8,170.0
Chano García,garcich03,5-3,
Cocaína García,garcico01,5-8,185.0
Dámaso García,garcida01,6-1,165.0
Deivi García,garcide01,5-9,190.0
Dérmis Garcia,garcide02,6-1,200.0
Edgar García,garcied01,6-1,205.0
Freddy García,garcifr01,6-2,190.0
Freddy García,garcifr03,6-4,250.0
Guillermo García,garcigu01,6-3,215.0
Harvey García,garciha01,6-2,170.0
Santiago Casilla,garcija01,6-0,210.0
Jaime García,garcija02,6-2,215.0
Jarlín García,garcija04,6-3,240.0
José García,garcijo01,5-11,165.0
Jose Barrero,garcijo02,6-2,211.0
Karim García,garcika01,6-0,210.0
Leo García,garcile01,5-8,160.0
Leury García,garcile02,5-8,190.0
Luis García,garcilu01,6-0,175.0
Luis García,garcilu02,6-3,215.0
Luis García,garcilu03,6-2,240.0
Luis Garcia,garcilu05,6-1,248.0
Maikel Garcia,garcima01,6-0,180.0
Miguel García,garcimi02,5-11,173.0
Onelki García,garcion01,6-3,225.0
Pedro García,garcipe01,5-10,175.0
Ramón García,garcira01,5-10,170.0
Ramón García,garcira03,6-2,200.0
Reynaldo García,garcire01,6-3,170.0
Rosman García,garciro01,6-2,215.0
Robel García,garciro02,6-0,195.0
Rony García,garciro03,6-3,200.0
Silvio García,garcisi01,6-0,195.0
Willy García,garciwi01,6-2,215.0
Yimi García,garciyi01,6-1,230.0
Ron Gardenhire,gardero01,6-0,175.0
Mike Gardiner,gardimi01,6-0,185.0
Alex Gardner,gardnal01,,
Daniel Garibay,garibda01,5-8,154.0
Gil Garrido,garrigi01,5-9,150.0
Gil Garrido,garrigi02,5-6,165.0
Alphonso Gerard,geraral01,5-10,180.0
Domingo Germán,germado01,6-2,181.0
Esteban Germán,germaes01,5-9,195.0
Franklyn Germán,germafr01,6-7,260.0
González Germen,germego01,6-1,200.0
César Gerónimo,geronce01,6-0,165.0
Sammy Gervacio,gervasa01,6-0,175.0
Jake Gettman,gettmja01,5-11,185.0
Pretzels Getzien,getzich01,5-10,172.0
George Gibson,gibsoge01,5-11,190.0
Benji Gil,gilbe01,6-2,210.0
Hugh Gilgan,gilgahu01,,
Gerónimo Gil,gilge01,6-3,240.0
Gus Gil,gilgu01,5-10,180.0
Jerry Gil,gilje01,6-3,215.0
Luis Gil,gillu01,6-2,185.0
Andrés Giménez,gimenan01,5-11,161.0
Héctor Giménez,gimenhe01,5-10,230.0
Roland Gladu,gladuro01,5-8,185.0
Manuel Godínez,godinma01,,
José Godoy,godoyjo01,5-11,200.0
Luiz Gohara,goharlu01,6-3,265.0
Izzy Goldstein,goldsiz01,6-0,160.0
Yan Gomes,gomesya01,6-2,212.0
Alexis Gómez,gomezal01,6-2,180.0
Carlos Gómez,gomezca01,6-3,220.0
Chile Gómez,gomezch01,5-10,165.0
David Gómez,gomezda01,5-9,
Héctor Gómez,gomezhe01,6-3,195.0
Jeanmar Gómez,gomezje01,6-3,215.0
Leo Gómez,gomezle02,6-0,180.0
Luis Gómez,gomezlu01,5-9,150.0
Mauro Gómez,gomezma01,6-2,230.0
Miguel Gómez,gomezmi01,5-9,206.0
Preston Gómez,gomezpr01,5-11,170.0
Roberto Gómez,gomezro01,6-6,200.0
Rubén Gómez,gomezru01,6-0,170.0
Sijo Gómez,gomezsi01,5-10,
Yoendrys Gómez,gomezyo01,6-3,212.0
Álex González,gonzaal02,6-1,210.0
Alberto González,gonzaal03,5-10,195.0
Alfredo González,gonzaal04,6-0,220.0
Andy González,gonzaan01,6-3,215.0
Carlos González,gonzaca01,6-1,220.0
Denny González,gonzade01,5-11,165.0
Dicky González,gonzadi01,5-10,200.0
Édgar González,gonzaed01,6-2,210.0
Enrique González,gonzaen01,5-10,225.0
Erik González,gonzaer01,6-3,205.0
Eusebio González,gonzaeu01,5-10,165.0
Fernando González,gonzafe01,5-10,165.0
Germán González,gonzage01,6-0,170.0
Geremi González,gonzaje01,6-2,200.0
José González,gonzajo02,6-2,190.0
Julio González,gonzaju01,5-11,150.0
Julio González,gonzaju02,5-11,162.0
Juan González,gonzaju03,6-3,175.0
Lariel González,gonzala02,6-4,228.0
Luis González,gonzalu02,5-11,170.0
Luis González,gonzalu03,5-11,185.0
Marwin González,gonzama01,6-1,205.0
Merandy González,gonzame01,6-0,216.0
Mike González,gonzami01,6-1,200.0
Miguel González,gonzami03,6-1,180.0
Miguel González,gonzami04,5-11,220.0
Miguel González,gonzami05,6-3,210.0
Orlando González,gonzaor01,6-2,180.0
Oscar González,gonzaos01,6-4,240.0
Pedro González,gonzape01,6-0,176.0
Raúl González,gonzara01,5-8,190.0
Severino González,gonzase01,6-2,155.0
Tony González,gonzato01,5-9,170.0
Vince Gonzales,gonzavi01,6-1,165.0
Victor González,gonzavi02,6-0,180.0
Wiki González,gonzawi01,5-11,175.0
Glen Gorbous,gorbogl01,6-2,175.0
Julio Gotay,gotayju01,6-0,180.0
Rubén Gotay,gotayru01,5-11,175.0
Yuli Gurriel,gourryu01,6-0,215.0
Claude Gouzzie,gouzzcl01,5-9,170.0
Frank Gracesqui,gracefr01,6-5,245.0
Yasmani Grandal,grandya01,6-2,225.0
Jack Graney,graneja01,5-9,180.0
Beiker Graterol,gratebe01,6-2,165.0
Brusdar Graterol,gratebr01,6-1,265.0
Juan Graterol,grateju01,6-1,225.0
Danny Graves,graveda01,5-11,200.0
Bob Greenwood,greenbo01,6-5,200.0
David Green,greenda03,6-3,170.0
Jason Green,greenja01,6-1,205.0
Steve Green,greenst01,6-2,200.0
Taylor Green,greenta01,6-0,195.0
Víctor Greenidge,greenvi01,5-11,185.0
Didi Gregorius,gregodi01,6-3,205.0
Alfredo Griffin,griffal01,5-11,160.0
Deivy Grullón,grullde01,5-11,240.0
Mayckol Guaipe,guaipma01,6-4,235.0
Cecilio Guante,guantce01,6-3,200.0
Reymin Guduan,guduare01,6-4,205.0
Álex Guerrero,guerral01,6-1,220.0
Deolis Guerra,guerrde01,6-5,245.0
Gabriel Guerrero,guerrga01,6-3,215.0
Javy Guerra,guerrja02,6-0,190.0
Juan Guerrero,guerrju01,5-11,160.0
Junior Guerra,guerrju02,6-0,235.0
Mario Guerrero,guerrma01,5-10,155.0
Marcelino Guerra,guerrma03,5-8,
Mike Guerra,guerrmi01,5-10,155.0
Pedro Guerrero,guerrpe01,5-11,176.0
Tayron Guerrero,guerrta01,6-8,225.0
Vladimir Guerrero,guerrvl01,6-3,235.0
Vladimir Guerrero Jr.,guerrvl02,6-2,245.0
Wilton Guerrero,guerrwi01,5-11,145.0
Giomar Guevara,guevagi01,5-8,150.0
Aaron Guiel,guielaa01,5-10,200.0
Félix Guilbe,guilbfe01,5-8,170.0
Juan Guilbe,guilbju01,6-1,205.0
Carlos Guillén,guillca01,6-1,215.0
José Guillén,guilljo01,5-11,165.0
Luis Guillorme,guilllu01,5-10,190.0
Ozzie Guillén,guilloz01,5-11,150.0
Lourdes Gurriel Jr.,gurrilo01,6-4,215.0
Jandel Gustave,gustaja01,6-3,220.0
César Gutiérrez,gutiece01,5-9,155.0
Franklin Gutierrez,gutiefr01,6-2,200.0
Jackie Gutiérrez,gutieja01,5-11,175.0
José Gutiérrez,gutiejo01,4-7,
J.C. Gutiérrez,gutieju01,6-3,245.0
Kelvin Gutiérrez,gutieke01,6-2,215.0
Vladimir Gutierrez,gutievl01,6-1,205.0
Ángel Guzmán,guzmaan01,6-3,190.0
Cristian Guzmán,guzmacr01,6-0,180.0
Domingo Guzmán,guzmado01,6-0,210.0
Edwards Guzmán,guzmaed01,5-11,205.0
Freddy Guzmán,guzmafr01,5-10,165.0
Geraldo Guzmán,guzmage01,6-2,180.0
Jesús Guzmán,guzmaje01,6-1,200.0
José Guzmán,guzmajo01,6-2,160.0
Johnny Guzmán,guzmajo02,5-10,155.0
Joel Guzmán,guzmajo03,6-7,225.0
Jorge Guzmán,guzmajo04,6-1,246.0
Juan Guzmán,guzmaju01,5-11,190.0
Ronald Guzmán,guzmaro01,6-5,235.0
Santiago Guzmán,guzmasa01,6-2,180.0
Yamid Haad,haadya01,6-2,204.0
George Hall,hallge01,5-7,142.0
Jimmy Hallinan,halliji01,5-9,172.0
Charlie Hallstrom,hallsch01,,
Greg Halman,halmagr01,6-4,210.0
Jim Halpin,halpiji01,,
Vern Handrahan,handrve01,6-2,185.0
Charlie Hanford,hanfoch01,5-6,145.0
Pat Hannivan,hannipa01,,
Devern Hansack,hansade01,6-2,180.0
Alen Hanson,hansoal01,6-0,170.0
Rich Harden,harderi01,6-1,190.0
Alex Hardy,hardyal01,5-10,164.0
Tim Harkness,harknti01,6-2,182.0
Brad Harman,harmabr01,6-1,195.0
Bill Harris,harribi03,5-8,187.0
Tom Harrison,harrito01,6-3,200.0
Shigetoshi Hasegawa,hasegsh01,5-11,160.0
Pete Hasney,hasnepe01,,
John Hattig,hattijo01,6-2,210.0
Blake Hawksworth,hawksbl01,6-3,195.0
Bill Haywood,haywobi01,6-3,205.0
Jeff Heath,heathje01,5-11,200.0
Adeiny Hechavarría,hechaad01,6-0,195.0
Jim Henderson,hendeji01,6-5,220.0
Elrod Hendricks,hendrel01,6-1,175.0
Liam Hendriks,hendrli01,6-0,235.0
Olaf Henriksen,henriol01,5-7,158.0
Óscar Henríquez,henrios01,6-6,220.0
Ronny Henriquez,henriro01,5-10,155.0
Félix Heredia,heredfe01,6-0,180.0
Guillermo Heredia,heredgu01,5-10,195.0
Ramón Heredía,heredra01,5-11,190.0
Ubaldo Heredia,heredub01,6-2,180.0
Wilson Heredia,heredwi01,6-0,175.0
Remy Hermoso,hermore01,5-8,155.0
Adrián Hernández,hernaad01,6-1,185.0
Álex Hernández,hernaal01,6-4,190.0
Alberto Hernández,hernaal02,6-0,195.0
Anderson Hernández,hernaan01,5-9,190.0
Ariel Hernández,hernaar01,6-4,230.0
Carlos Hernández,hernaca01,5-11,185.0
Carlos Hernández,hernaca02,5-9,175.0
Carlos Hernández,hernaca03,5-11,205.0
Carlos Hernández,hernaca04,6-4,255.0
César Hernández,hernace01,6-0,160.0
César Hernández,hernace02,5-10,183.0
Chico Hernández,hernach01,6-0,195.0
Cheo Hernández,hernach02,5-8,
Darwinzon Hernández,hernada02,6-2,255.0
Daysbel Hernández,hernada03,5-10,220.0
Darell Hernaiz,hernada04,5-11,190.0
Diory Hernández,hernadi01,6-0,185.0
Elieser Hernández,hernael01,6-1,214.0
Elier Hernández,hernael02,6-1,197.0
Enzo Hernández,hernaen01,5-8,155.0
Kiké Hernández,hernaen02,5-11,195.0
Evelio Hernández,hernaev01,6-1,195.0
Fernando Hernández,hernafe01,6-2,185.0
Félix Hernández,hernafe02,6-3,220.0
Gorkys Hernández,hernago01,6-1,196.0
Jackie Hernández,hernaja01,5-11,165.0
Jesús Hernáiz,hernaje01,6-2,175.0
José Hernández,hernajo01,6-1,180.0
Jose Hernandez,hernajo03,6-3,205.0
Leo Hernández,hernale01,5-11,170.0
Liván Hernández,hernali01,6-2,245.0
Luis Hernández,hernalu01,5-10,190.0
Manny Hernández,hernama01,6-0,150.0
Marco Hernández,hernama02,6-0,210.0
Michel Hernández,hernami01,6-0,215.0
Orlando Hernández,hernaor01,6-2,210.0
Óscar Hernández,hernaos01,6-1,230.0
Pete Hernández,hernape01,6-1,160.0
Pedro Hernández,hernape02,5-10,210.0
Ramón Hernández,hernara01,5-11,165.0
Ramón Hernández,hernara02,6-0,220.0
Ramón Hernández,hernara03,,
Roberto Hernández,hernaro01,6-4,220.0
Rudy Hernández,hernaru01,6-3,185.0
Rudy Hernández,hernaru02,5-9,150.0
Runelvys Hernández,hernaru03,6-3,185.0
Teoscar Hernández,hernate01,6-2,215.0
Toby Hernández,hernato01,6-1,160.0
Willie Hernández,hernawi01,6-3,180.0
Yadiel Hernández,hernaya01,5-9,185.0
Yoel Hernández,hernayo01,6-2,210.0
Yonny Hernández,hernayo02,5-7,140.0
